fingerprint,time,song
6302722,61, Never_Really_Change
6303746,117, cross_pollination
6304770,69, The_last_ones
6305794,97, Never_Really_Change
7340034,110, The_last_ones
9440258,49, cross_pollination
9449474,93, Never_Really_Change
9450498,93, Never_Really_Change
10487810,96, Born_Ready
10491906,97, Never_Really_Change
10496002,61, Never_Really_Change
3147779,82, Never_Really_Change
5243907,88, Never_Really_Change
5244931,88, Never_Really_Change
5251075,89, cross_pollination
5252099,88, Never_Really_Change
6291459,14, The_last_ones
6292483,110, Never_Really_Change
6294531,82, Never_Really_Change
6296579,103, Never_Really_Change
6297603,88, Never_Really_Change
6298627,103, Never_Really_Change
6299651,83, Never_Really_Change
6300675,55, Never_Really_Change
6301699,88, Never_Really_Change
6302723,68, Never_Really_Change
6303747,103, Never_Really_Change
6304771,69, The_last_ones
6305795,117, Night_Owl
7340035,110, The_last_ones
9440259,114, cross_pollination
9449475,114, cross_pollination
9450499,89, cross_pollination
10491907,89, cross_pollination
10496003,114, cross_pollination
3147780,94, Never_Really_Change
5243908,111, Never_Really_Change
5244932,121, Born_Ready
5251076,108, cross_pollination
5252100,82, cross_pollination
6291460,14, The_last_ones
6296580,93, Never_Really_Change
6297604,104, Never_Really_Change
6298628,120, cross_pollination
6301700,104, Never_Really_Change
6302724,104, Never_Really_Change
6303748,81, Never_Really_Change
6304772,69, The_last_ones
6305796,68, The_last_ones
9440260,94, Never_Really_Change
9449476,93, Never_Really_Change
9450500,28, The_last_ones
10487812,114, Never_Really_Change
10491908,114, Never_Really_Change
10496004,104, Never_Really_Change
3147787,82, Never_Really_Change
5243915,92, Never_Really_Change
5244939,92, Never_Really_Change
5251083,92, Never_Really_Change
5252107,92, Never_Really_Change
6291467,14, The_last_ones
6292491,110, Never_Really_Change
6296587,93, Never_Really_Change
6297611,104, Never_Really_Change
6298635,48, Never_Really_Change
6299659,104, Never_Really_Change
6300683,104, Never_Really_Change
6301707,116, Night_Owl
6302731,104, Never_Really_Change
6303755,67, Never_Really_Change
6304779,69, The_last_ones
6305803,68, The_last_ones
7340043,110, The_last_ones
9440267,74, Never_Really_Change
9449483,83, The_last_ones
9450507,83, The_last_ones
10487819,83, Never_Really_Change
10491915,93, Never_Really_Change
10496011,104, Never_Really_Change
3147788,107, Never_Really_Change
5243916,122, cross_pollination
5244940,89, cross_pollination
5251084,89, cross_pollination
5252108,122, cross_pollination
6291468,111, The_last_ones
6292492,104, Never_Really_Change
6296588,97, Night_Owl
6297612,104, Never_Really_Change
6298636,97, Night_Owl
6299660,95, Night_Owl
6300684,97, Night_Owl
6301708,104, Never_Really_Change
6302732,97, Night_Owl
6303756,67, cross_pollination
6304780,69, The_last_ones
6305804,117, Night_Owl
7340044,110, The_last_ones
9440268,101, The_last_ones
9449484,101, The_last_ones
9450508,101, The_last_ones
10487820,4, The_last_ones
10491916,4, The_last_ones
10496012,4, The_last_ones
3147794,94, Never_Really_Change
5243922,36, The_last_ones
5244946,36, The_last_ones
5251090,36, The_last_ones
5252114,36, The_last_ones
6291474,104, Never_Really_Change
6292498,49, The_last_ones
6294546,104, Never_Really_Change
6296594,49, The_last_ones
6297618,49, The_last_ones
6298642,49, The_last_ones
6299666,49, The_last_ones
6300690,49, The_last_ones
6301714,104, Never_Really_Change
6302738,49, The_last_ones
6303762,49, The_last_ones
6304786,49, The_last_ones
6305810,49, The_last_ones
7340050,110, The_last_ones
9440274,73, The_last_ones
9449490,92, The_last_ones
9450514,83, The_last_ones
10487826,114, The_last_ones
10491922,114, The_last_ones
